0x00 0x00 0x00 0x00 0x50 0x35 0x30 0x00 0x00 0x00 0x28 0x29 0x27 0x28 0x00 0x33 0x23 0x2F 0x32 0x25 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
0x00 0x00 0x00 0x00 0x00 0x00 0x10 0x10 0x00 0x00 0x00 0x00 0x00 0x15 0x10 0x10 0x10 0x10 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 0x00 
0x00 0x00 0xA2 0xA3 0xA3 0xA3 0xA3 0xD2 0xD3 0xD4 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xA3 0xD2 0xD3 0xD4 0xA3 0xA3 0xA3 0xA3 0xA4 0x00 0x00 
0x00 0x00 0xB2 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xB3 0x00 0x00 
0x00 0x00 0xD5 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xD6 0x00 0x00 
0x00 0x00 0xE5 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xE6 0x00 0x00 
0x00 0x00 0xF5 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xA8 0xA9 0xF6 0x00 0x00 
0x00 0x00 0xB2 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xBA 0xBB 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB6 0xB7 0xB3 0x00 0x00 
0x00 0x00 0xD5 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xB8 0xB9 0xD6 0x00 0x00 
0x00 0x00 0xE5 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xE6 0x00 0x00 
0x00 0x00 0xF5 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xF6 0x00 0x00 
0x00 0x00 0xB2 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xB3 0x00 0x00 
0x00 0x00 0xD5 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xD6 0x00 0x00 
0x00 0x00 0xE5 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xE6 0x00 0x00 
0x00 0x00 0xF5 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xF6 0x00 0x00 
0x00 0x00 0xB2 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xA6 0xB3 0x00 0x00 
0x00 0x00 0xB2 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xA7 0xB3 0x00 0x00 
